iter	RMSE
0	23.34586106
1	22.74777239
2	22.2005642
3	21.67965062
4	21.17953324
5	20.72371641
6	20.30337938
7	19.89479907
8	19.54167501
9	19.18879322
10	18.83437589
11	18.5537877
12	18.26034628
13	17.96849543
14	17.6985541
15	17.45275306
16	17.20335389
17	16.98061089
18	16.79107237
19	16.59649356
20	16.40575574
21	16.23663831
22	16.0851302
23	15.93207577
24	15.78163278
25	15.64340551
26	15.52202909
27	15.39109155
28	15.26083359
29	15.14867663
30	15.04566952
31	14.97339004
32	14.87414913
33	14.78439535
34	14.69980282
35	14.62968153
36	14.5042827
37	14.45295566
38	14.38259776
39	14.26980394
40	14.19845069
41	14.11163282
42	14.02899555
43	13.96531825
44	13.85549776
45	13.78179813
46	13.72731063
47	13.65085393
48	13.59668864
49	13.5475462
50	13.47310242
51	13.39032101
52	13.35386136
53	13.29020178
54	13.23477606
55	13.18780743
56	13.15973196
57	13.09526937
58	13.03239757
59	12.99427002
60	12.95111631
61	12.88776619
62	12.82715704
63	12.80353069
64	12.74962751
65	12.71001699
66	12.68727905
67	12.6662554
68	12.61341852
69	12.59531758
70	12.55981036
71	12.52412573
72	12.48021805
73	12.46259122
74	12.44883574
75	12.40970238
76	12.36596948
77	12.33497072
78	12.29248508
79	12.25951735
80	12.22247825
81	12.17987444
82	12.15766861
83	12.14454207
84	12.11155086
85	12.09258073
86	12.07156809
87	12.05159469
88	12.01712212
89	12.00524778
90	11.95184371
91	11.93421275
92	11.90843683
93	11.87877202
94	11.85302746
95	11.83416644
96	11.80479023
97	11.78296826
98	11.75597751
99	11.73622006
100	11.71012455
101	11.69771445
102	11.66616738
103	11.6418471
104	11.62748307
105	11.59687611
106	11.58475818
107	11.57419796
108	11.54797821
109	11.53414465
110	11.52607751
111	11.50914428
112	11.48519206
113	11.45364809
114	11.42897221
115	11.4167029
116	11.40255594
117	11.37699188
118	11.36636815
119	11.3356997
120	11.32065703
121	11.2955644
122	11.27734063
123	11.25499771
124	11.23005918
125	11.2237209
126	11.20178209
127	11.1794034
128	11.16126488
129	11.13639095
130	11.12665888
131	11.10759299
132	11.08347684
133	11.06713437
134	11.05503274
135	11.04871472
136	11.01626593
137	11.00236055
138	10.99737656
139	10.98010901
140	10.97119673
141	10.95998801
142	10.9369886
143	10.92171433
144	10.90542113
145	10.88992207
146	10.86556116
147	10.84054046
148	10.82648855
149	10.81893116
150	10.81115205
151	10.79839034
152	10.7913164
153	10.78536284
154	10.77280074
155	10.75968801
156	10.74723666
157	10.74086349
158	10.71992456
159	10.70771155
160	10.6884333
161	10.68228488
162	10.66105172
163	10.65592316
164	10.64809756
165	10.63818289
166	10.61428858
167	10.59371137
168	10.57584553
